Movie_ID,Title,Weighted_Rating,Director(s),Cast,Genres
2157,Do Phool,5.827304058419837,['S. Ramanathan'],"['Ashok Kumar', 'Vinod Mehra', 'Aruna Irani']","['Action, Comedy, Drama']"
2158,Gandhiji My Mentor,5.827278877608664,['Nilay Dave'],"['Anil Pandey', 'Deepak Antani', 'Nilay Dave']","['Drama, History']"
2159,Jodi,5.8272381343235535,['Praveenkanth'],"['Manager Cheena', 'Sakthi Chidambaram', 'Isha Koppikar']",['Romance']
2160,Raaz,5.827174621823327,['Ravindra Dave'],"['Rajesh Khanna', 'Babita Kapoor', 'I.S. Johar']","['Thriller, Mystery']"
2161,Jugni,5.827174621823327,['Shefali Bhushan'],"['Anurita Jha', 'Sadhana Singh', 'Sugandha Garg']",['Drama']
2162,Apna Desh,5.827170994861973,['Jambulingam'],"['Rajesh Khanna', 'Mumtaz', 'Om Prakash']","['Action, Comedy, Drama']"
2163,Anhonee,5.827123716836162,['Ravi Tandon'],"['Sanjeev Kumar', 'Leena Chandavarkar', 'Padma Khanna']","['Drama, Romance, Thriller']"
2164,Baarish,5.827086874434382,['Shankar Mukherjee'],"['Dev Anand', 'Nutan', 'Anwar Hussain']","['Crime, Drama, Romance']"
2165,Alif Laila,5.827086874434382,['Balwant Bhatt'],"['Shanti Dave', 'Bashir Qawal', 'Zohra']",['Fantasy']
2166,Jwar Bhata,5.827034782619416,['Adurthi Subba Rao'],"['Saira Banu', 'Dharmendra', 'Sujit Kumar']","['Drama, Family']"
2167,Lalkar (The Challenge),5.827027273470704,['Ramanand Sagar'],"['Rajendra Kumar', 'Dharmendra', 'Mala Sinha']","['Action, Drama, Romance']"
2168,Chand Bujh Gaya,5.827023100247694,['Sharique Minhaj'],"['Mukesh Ahuja', 'Ishrat Ali', 'Aliza']","['Drama, Thriller']"
2169,Shareef Budmaash,5.827023100247694,['Raj Khosla'],"['Dev Anand', 'Hema Malini', 'Ajit']","['Action, Crime, Thriller']"
2170,Prithvi Vallabh,5.827015491757147,['Sohrab Modi'],"['Sadiq Ali', 'Durga Khote', 'Leela Mishra']",['Drama']
2171,Pyaar Mein Twist,5.826995168203114,['Hriday Shetty'],"['Rishi Kapoor', 'Dimple Kapadia', 'Vikas Bhalla']","['Comedy, Drama, Musical']"
2172,Apnapan,5.826985796676161,['J. Om Prakash'],"['Jeetendra', 'Sanjeev Kumar', 'Reena Roy']","['Drama, Romance']"
2173,Yugandhar,5.826974496106906,['N. Chandra'],"['Mithun Chakraborty', 'Kabir Bedi', 'Sangeeta Bijlani']","['Action, Crime, Drama']"
2174,Tarang,5.826972050834784,['Kumar Shahani'],"['Amol Palekar', 'Smita Patil', 'Shreeram Lagoo']",['Drama']
2175,Kaccha Limboo,5.82697026108755,['Sagar Ballary'],"['Muntazir Ahmad', 'Karan Bhanushali', 'Bhairavi Goswami']","['Comedy, Family']"
2176,The Film Emotional Atyachar,5.82694868217026,['Akshay Shere'],"['Ranvir Shorey', 'Vinay Pathak', 'Ravi Kishan']","['Comedy, Crime, Drama']"
2177,Najma,5.826896892835528,['Mehboob Khan'],"['Ashok Kumar', 'Sitara', 'Veena']",['Drama']
2178,Paak,5.826830851552222,['Sujeet Kumar'],"['Arsh Sandhu', 'Rajniesh Duggall', 'Nikitin Dheer']",['Drama']
2179,Sniffer,5.8267718623291485,['Buddhadev Dasgupta'],"['Nawazuddin Siddiqui', 'Pankaj Tripathi', 'Ananya Chatterjee']","['Adventure, Comedy, Drama']"
